Interval=	0.001 s
ExcelDateTime=	4.4558456458398046e+004	12/28/2021 10:57:18.005592
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1
Range=	5.000 V
UnitName=	pu
TopValue=	5000.00
BottomValue=	-5000.00
0.384	787.34
0.385	787.19
0.386	787.03
0.387	787.66
0.388	787.19
0.389	787.66
0.39	786.88
0.391	786.88
0.392	787.81
0.393	787.19
0.394	786.72
0.395	787.19
0.396	786.72
0.397	787.03
0.398	787.66
0.399	787.19
0.4	775.16
0.401	764.38
0.402	765.00
0.403	764.69
0.404	764.06
0.405	764.84
0.406	764.38
0.407	765.94
0.408	764.22
0.409	764.53
0.41	763.91
0.411	764.06
0.412	764.22
0.413	764.22
0.414	764.53
0.415	764.53
0.416	763.59
0.417	764.38
0.418	764.69
0.419	764.84
0.42	764.69
0.421	751.09
0.422	750.94
0.423	751.25
0.424	751.09
0.425	751.25
0.426	751.41
0.427	751.25
0.428	751.56
0.429	751.25
0.43	751.41
0.431	751.25
0.432	751.09
0.433	751.56
0.434	751.25
0.435	750.47
0.436	750.47
0.437	750.94
0.438	751.09
0.439	751.25
0.44	749.69
0.441	748.28
0.442	748.59
0.443	748.13
0.444	748.75
0.445	748.13
0.446	748.44
0.447	748.44
0.448	748.44
0.449	748.59
0.45	748.59
0.451	748.59
0.452	748.28
0.453	748.13
0.454	748.28
0.455	748.28
0.456	747.97
0.457	748.75
0.458	748.59
0.459	748.44
0.46	748.28
0.461	749.38
0.462	749.38
0.463	748.75
0.464	748.91
0.465	748.75
0.466	749.22
0.467	748.91
0.468	749.06
0.469	749.22
0.47	748.59
0.471	748.91
0.472	748.75
0.473	748.59
0.474	749.06
0.475	748.91
0.476	748.44
0.477	748.75
0.478	748.28
0.479	749.22
0.48	747.19
0.481	742.03
0.482	741.41
0.483	742.19
0.484	742.19
0.485	742.34
0.486	742.66
0.487	740.94
0.488	742.81
0.489	742.34
0.49	742.66
0.491	742.66
0.492	742.03
0.493	742.50
0.494	742.81
0.495	742.03
0.496	742.81
0.497	741.88
0.498	742.97
0.499	742.19
0.5	742.81
0.501	730.00
0.502	729.53
0.503	729.53
0.504	729.53
0.505	729.53
0.506	729.38
0.507	729.69
0.508	729.69
0.509	729.22
0.51	729.69
0.511	729.84
0.512	729.06
0.513	729.22
0.514	729.22
0.515	729.53
0.516	729.69
0.517	729.69
0.518	729.84
0.519	729.69
0.52	722.19
0.521	714.22
0.522	714.06
0.523	714.06
0.524	714.38
0.525	714.06
0.526	714.38
0.527	714.06
0.528	714.84
0.529	714.38
0.53	715.00
0.531	714.22
0.532	713.91
0.533	714.69
0.534	714.84
0.535	714.38
0.536	714.38
0.537	714.06
0.538	714.69
0.539	714.38
0.54	714.69
0.541	700.16
0.542	699.38
0.543	699.22
0.544	699.38
0.545	699.38
0.546	699.22
0.547	699.38
0.548	699.38
0.549	699.22
0.55	700.00
0.551	699.22
0.552	699.38
0.553	699.53
0.554	699.22
0.555	699.69
0.556	699.69
0.557	699.06
0.558	699.06
0.559	699.22
0.56	691.09
0.561	689.84
0.562	690.16
0.563	690.16
0.564	689.69
0.565	690.16
0.566	689.84
0.567	689.69
0.568	690.47
0.569	689.69
0.57	690.47
0.571	689.53
0.572	690.00
0.573	690.47
0.574	689.53
0.575	690.00
0.576	689.53
0.577	690.00
0.578	690.00
0.579	689.69
0.58	689.84
0.581	689.69
0.582	689.06
0.583	689.84
0.584	688.91
0.585	689.38
0.586	689.38
0.587	689.84
0.588	690.00
0.589	689.53
0.59	689.22
0.591	689.38
0.592	689.53
0.593	689.22
0.594	689.22
0.595	689.69
0.596	689.22
0.597	689.22
0.598	689.22
0.599	689.38
0.6	692.19
0.601	691.72
0.602	691.72
0.603	691.88
0.604	691.72
0.605	692.19
0.606	691.88
0.607	691.41
0.608	692.50
0.609	691.72
0.61	692.03
0.611	691.88
0.612	692.66
0.613	692.03
0.614	691.72
0.615	691.56
0.616	691.72
0.617	692.03
0.618	691.88
0.619	692.03
0.62	692.19
0.621	689.69
0.622	689.69
0.623	689.84
0.624	689.84
0.625	690.00
0.626	690.00
0.627	690.16
0.628	689.38
0.629	690.16
0.63	690.00
0.631	689.69
0.632	690.31
0.633	690.16
0.634	689.53
0.635	689.69
0.636	689.22
0.637	690.31
0.638	689.06
0.639	690.00
0.64	682.19
0.641	682.03
0.642	682.34
0.643	682.03
0.644	682.03
0.645	682.03
0.646	681.72
0.647	682.19
0.648	681.88
0.649	682.19
0.65	681.88
0.651	682.03
0.652	682.19
0.653	681.72
0.654	682.03
0.655	682.19
0.656	682.19
0.657	681.88
0.658	682.03
0.659	682.34
0.66	682.34
0.661	675.47
0.662	675.78
0.663	676.25
0.664	676.25
0.665	675.78
0.666	675.16
0.667	675.78
0.668	675.94
0.669	675.63
0.67	675.31
0.671	676.09
0.672	675.31
0.673	675.31
0.674	675.94
0.675	675.78
0.676	675.78
0.677	676.25
0.678	675.63
0.679	675.78
0.68	681.88
0.681	682.03
0.682	682.03
0.683	682.03
0.684	682.81
0.685	681.56
0.686	682.19
0.687	682.03
0.688	681.56
0.689	682.19
0.69	682.19
0.691	681.88
0.692	681.88
0.693	682.03
0.694	682.19
0.695	682.03
0.696	682.34
0.697	682.03
0.698	681.88
0.699	682.19
0.7	681.88
0.701	702.50
0.702	702.03
0.703	702.81
0.704	702.66
0.705	702.34
0.706	702.19
0.707	702.50
0.708	702.66
0.709	702.19
0.71	702.50
0.711	702.34
0.712	702.19
0.713	702.34
0.714	702.66
0.715	702.19
0.716	702.50
0.717	702.19
0.718	702.19
0.719	702.19
0.72	728.91
0.721	729.22
0.722	729.22
0.723	729.38
0.724	729.38
0.725	729.06
0.726	728.75
0.727	729.06
0.728	729.06
0.729	729.06
0.73	729.22
0.731	729.38
0.732	728.59
0.733	728.75
0.734	729.06
0.735	729.22
0.736	729.06
0.737	729.22
0.738	729.06
0.739	728.75
0.74	729.53
0.741	754.84
0.742	754.53
0.743	754.53
0.744	754.38
0.745	754.22
0.746	754.84
0.747	754.38
0.748	754.53
0.749	755.00
0.75	754.84
0.751	755.16
0.752	754.69
0.753	754.69
0.754	754.84
0.755	755.00
0.756	754.53
0.757	754.84
0.758	754.38
0.759	754.38
0.76	778.28
0.761	778.28
0.762	777.81
0.763	778.75
0.764	778.13
0.765	777.97
0.766	778.13
0.767	777.81
0.768	778.28
0.769	778.13
0.77	777.81
0.771	777.50
0.772	777.81
0.773	778.44
0.774	778.28
0.775	777.81
0.776	777.97
0.777	777.50
0.778	777.81
0.779	777.97
0.78	778.13
0.781	800.16
0.782	799.53
0.783	800.31
0.784	800.16
0.785	800.47
0.786	800.47
0.787	800.31
0.788	800.94
0.789	800.47
0.79	800.63
0.791	800.63
0.792	800.47
0.793	800.00
0.794	800.00
0.795	800.31
0.796	800.31
0.797	800.31
0.798	800.63
0.799	800.63
0.8	822.50
0.801	822.50
0.802	822.50
0.803	822.97
0.804	822.66
0.805	822.34
0.806	822.34
0.807	822.03
0.808	822.81
0.809	822.50
0.81	822.03
