Interval=	0.001 s
ExcelDateTime=	4.4558443160273120e+004	12/28/2021 10:38:09.047598
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1
Range=	5.000 V
UnitName=	pu
TopValue=	5000.00
BottomValue=	-5000.00
0.384	586.41
0.385	586.56
0.386	586.41
0.387	586.09
0.388	588.13
0.389	587.97
0.39	587.97
0.391	588.13
0.392	588.13
0.393	587.97
0.394	588.28
0.395	587.81
0.396	587.97
0.397	588.28
0.398	587.97
0.399	587.97
0.4	588.59
0.401	588.28
0.402	587.66
0.403	587.97
0.404	587.97
0.405	588.44
0.406	587.97
0.407	587.97
0.408	583.91
0.409	584.38
0.41	583.91
0.411	583.59
0.412	583.75
0.413	583.59
0.414	583.91
0.415	583.91
0.416	583.44
0.417	583.75
0.418	583.59
0.419	583.59
0.42	584.06
0.421	583.44
0.422	583.91
0.423	583.44
0.424	583.91
0.425	583.75
0.426	583.75
0.427	583.75
0.428	577.97
0.429	578.44
0.43	578.75
0.431	578.59
0.432	577.97
0.433	577.97
0.434	577.97
0.435	578.28
0.436	577.97
0.437	578.13
0.438	578.44
0.439	577.81
0.44	578.13
0.441	577.66
0.442	578.75
0.443	577.81
0.444	578.28
0.445	577.97
0.446	578.28
0.447	578.59
0.448	574.22
0.449	573.91
0.45	574.84
0.451	574.22
0.452	574.06
0.453	574.38
0.454	574.06
0.455	573.75
0.456	574.38
0.457	574.38
0.458	574.69
0.459	574.06
0.46	573.91
0.461	574.38
0.462	574.06
0.463	573.91
0.464	573.91
0.465	574.22
0.466	574.38
0.467	574.06
0.468	576.88
0.469	576.25
0.47	576.41
0.471	576.41
0.472	575.94
0.473	576.56
0.474	576.41
0.475	576.25
0.476	576.72
0.477	576.25
0.478	576.41
0.479	576.88
0.48	576.09
0.481	576.41
0.482	576.72
0.483	575.63
0.484	576.25
0.485	575.78
0.486	576.88
0.487	576.41
0.488	586.72
0.489	586.56
0.49	586.56
0.491	586.09
0.492	586.56
0.493	586.09
0.494	586.25
0.495	586.56
0.496	586.09
0.497	586.41
0.498	586.09
0.499	586.25
0.5	586.25
0.501	587.19
0.502	586.41
0.503	586.41
0.504	585.78
0.505	586.72
0.506	586.25
0.507	586.88
0.508	595.63
0.509	596.09
0.51	595.78
0.511	595.78
0.512	596.41
0.513	595.78
0.514	596.09
0.515	595.63
0.516	596.09
0.517	596.41
0.518	595.94
0.519	595.94
0.52	596.72
0.521	596.09
0.522	596.41
